NAME,PROCESSOR,RAM,HDD,NO,SSD,DISPLAY,OPERATING SYSTEM,",",IMAGE-src
Apple MacBook Pro MV972HN Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Mac OS Mojave),Intel Core i5 8th Gen,8 GB DDR3 RAM,NO,512 GB SSD,Intel Integrated Iris Plus 655,"13.3 inches, 2560 x 1600 pixels",Mac OS,"1,70,000",https://cdn1.smartprix.com/rx-iH72cUbkg-w103-h125/apple-macbook-pro-mv.jpg
Apple MacBook Pro 16 Laptop (9th Gen Core i7/ 16GB/ 1TB SSD/ MacOS/ 4GB Graph),Intel Core i7 9th Gen,16 GB DDR4 RAM,NO,1 TB SSD,4 GB AMD Graphics Card,"16 inches, 3072 x 1920 pixels",Mac Catalina OS,"1,73,000",https://cdn1.smartprix.com/rx-iEfv2P2Oc-w103-h125/apple-macbook-pro-16.webp
Apple MacBook Pro 15 inch ME294HN/A Laptop (4th Gen Ci7/ 16GB/ 512GB/ Mac OS X Mavericks/ 2GB Graph/ Retina Display),Intel Core i7 4th Gen,16 GB DDR3 RAM,512 GB Hard Disk,NO,2 GB NVIDIA Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac OS,"1,76,000",https://cdn1.smartprix.com/rx-i5GoW4KeD-w103-h125/apple-macbook-pro-15.jpg
Apple Macbook pro MPTR2HN/A Laptop (Ci7/ 16Gb/ 256GB SSD/ Mac OS/ 2GB Graph),Intel Core i7 7th Gen,16 GB DDR3 RAM,NO,256 GB SSD,2 GB Intel Graphics Card,"15.4 inches, 2800 x 1800 pixels",Mac OS,"1,79,000",https://cdn1.smartprix.com/rx-ifcwHXAmz-w103-h125/apple-macbook-pro-mp.jpg
Apple MacBook Pro 15 inch ME665HN/A Laptop (3rd Gen Ci7/ 16GB/ 512GB Flash/ Mac OS X Mountain Lion/ 1GB Graph/ Retina Display),Intel Core i7 2nd Gen,16 GB DDR3 RAM,512 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15 inches, 2880 x 1800 pixels",Mac OS,"1,80,000",https://cdn1.smartprix.com/rx-iCgDynLaQ-w103-h125/apple-macbook-pro-15.jpg
Apple MacBook Pro MLW82HN/A Notebook (3rd Gen Ci7/ 16GB/ 512GB SSD/ Mac OS X El Capitan/ 2GB Graph),Intel Core i7,16 GB DDR3 RAM,NO,512 GB SSD,2 GB  Graphics Card,"15 inches, 2880 x 1800 pixels",Mac OS,"1,87,000",https://cdn1.smartprix.com/rx-iloCXBjmi-w103-h125/apple-macbook-pro-ml.jpg
Apple MacBook Pro MVVJ2HN/A Laptop (9th Gen Core i7/ 16GB/ 512GB SSD/ Mac OS Catalina/ 4GB Graph),Intel Core i7 9th Gen,16 GB DDR4 RAM,NO,512 GB SSD,4 GB AMD Graphics Card,"16 inches, 3072 x 1920 pixels",Mac OS,"1,87,000",https://cdn1.smartprix.com/rx-ihWhajUkt-w103-h125/apple-macbook-pro-mv.webp
Apple MacBook Pro MV922HN Laptop (8th Gen Core i7/ 16GB/ 256GB SSD/ Mac OS Mojave/ 4GB Graph),Intel Core i7 8th Gen,16 GB DDR3 RAM,NO,256 GB SSD,4 GB AMD Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac OS,"1,90,000",https://cdn1.smartprix.com/rx-i1Nq82l1G-w103-h125/apple-macbook-pro-mv.jpg
Apple MacBook Pro MWP82HN Laptop (10th Gen Core i5/ 16GB/ 1TB SSD/ Mac OS Catalina),Intel Core i5 10th Gen,16 GB LPDDR4X RAM,NO,1 TB SSD,Intel Integrated Iris Plus,"13 inches, 2560 x 1600 pixels",Mac OS,"1,90,000",https://cdn1.smartprix.com/rx-i76G8DDaV-w103-h125/apple-macbook-pro-mw.webp
Apple MacBook Pro 15 inch MV922HN/A (9th Gen Core i7/ 4GB/ 256GB SSD/ Mac OS),Intel Core i7 9th Gen,16 GB DDR4 RAM,NO,256 GB SSD,4 GB AMD Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac Mojave OS,"1,92,000",https://cdn1.smartprix.com/rx-ipUI2QFEX-w103-h125/apple-macbook-pro-15.jpg
