NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
HP 15-ac170tu Notebook (5th Gen Ci3 / 4GB/ 500GB/ FreeDOS) (P6L83PA),Intel Core i3 5th Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,AMD Radeon 9125,"14 inches, 1366 x 768 pixels",Windows 10 OS," 19,701 ",https://cdn1.smartprix.com/rx-iXhf6YzAR-w103-h125/hp-14q-cy0005au-7qg8.jpg
HP Imprint 15Q-bu013TU (2TZ31PA) Laptop (6th Gen Ci3/ 4GB/ 1TB/ Win10 Home),Intel Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,799 ",https://cdn1.smartprix.com/rx-iXfTsflsu-w103-h125/hp-15-ac040tu-notebo.jpg
HP 14-CE1000TX (5FV99PA) Laptop (8th Gen Ci5/ 8GB/ 256GB SSD/ Win10/ 2GB Graph),Intel Core i5 8th Gen,8 GB DDR4 RAM,NO,256 GB SSD,Intel Integrated HD,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,799 ",https://cdn1.smartprix.com/rx-i049cbaqa-w103-h125/hp-15-ay089tu-x3c64p.jpg
HP 15-ay020tu (W6T34PA) Notebook (5th Gen Ci3/ 4GB/ 1TB/Win10),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,AMD Radeon R2 Graphics,"14 inches, 1366 x 768 pixels",Ubuntu OS," 19,871 ",https://cdn1.smartprix.com/rx-iMdURkFgk-w103-h125/hp-245g3-notebook-ap.jpg
HP 15-di2000tu Laptop (10th Gen Core i5/ 4GB/ 1TB 256GB SSD/ Win10 Home),Intel Core i5 10th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon™ R2,"14.1 inches, 1366 x 768 pixels",DOS OS," 19,985 ",https://cdn1.smartprix.com/rx-iuf6oJEzW-w103-h125/hp-245-g4-n5p86pa-la.jpg
HP 15-BA017AX (X5Q19PA) Laptop (AMD Quad Core A8/ 4GB/ 1TB/ Free DOS/ 2GB Graph),AMD A8 APU 3rd Gen,2 GB DDR3 RAM,1 TB Hard Disk,NO,NO,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,990 ",https://cdn1.smartprix.com/rx-ilGcNchw2-w103-h125/hp-15q-ds0004tu-4tt0.jpg
HP 15-bs539tu (2EY76PA) Notebook (7th Gen Ci5/ 4GB/ 1TB/ Win10),Intel Core i5 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,15.59 inches,Windows 8 OS," 19,990 ",https://cdn1.smartprix.com/rx-iaEqCzPGE-w103-h125/hp-15-ac053tu-m9v71p.jpg
HP 15s-du2069TU Laptop (10th Gen Core i3/ 4GB/ 1TB/ Win10 Home),Intel Core i3 10th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,990 ",https://cdn1.smartprix.com/rx-i65q0ZvPo-w103-h125/hp-15-r250tu-noteboo.jpg
HP 15-da0074tx (4TT07PA) Laptop (7th Gen Ci3/ 8GB/ 1TB/ FreeDOS/ 2GB Graph),Intel Core i3 7th Gen,8 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated 400,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,990 ",https://cdn1.smartprix.com/rx-iQvhMNrR6-w103-h125/hp-15-bs614tu-laptop.jpg
HP 14s-dr1001tu (10th Gen Core i3/ 8GB/ 512GB SSD/ Win10 Home),Intel Core i3 10th Gen,8 GB DDR4 RAM,NO,512 GB SSD,Intel UHD 605,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 19,990 ",https://cdn1.smartprix.com/rx-i7eaMcmbN-w103-h125/hp-15-da0322tu-4zd78.jpg
HP ProBook 450 G5 (3EB77PA) Laptop (8th Gen Core i5/ 8GB/ 1TB/ Win 10/ 2GB Graph),Intel Core i5 8th Gen,8 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated HD,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 19,999 ",https://cdn1.smartprix.com/rx-i6ADL1Q0b-w103-h125/hp-15q-bu031tu-lapto.jpg
HP 15q-bu107TX Laptop (8th Gen Ci7/ 8GB/ 1TB/ FreeDOS/ 4GB Graph),Intel 8th Gen,8 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated HD Graphics 405,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,999 ",https://cdn1.smartprix.com/rx-iCe9yWSW5-w103-h125/hp-imprint-15q-bu009.jpg
HP Envy 6-1001TU Sleekbook (2nd Gen Ci3/ 4GB/ 500GB/ Win 7 HB),Intel Core i3 2nd Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,256 MB AMD Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 19,999 ",https://cdn1.smartprix.com/rx-i1ryvsM6S-w103-h125/hp-15-af138au-t0x76p.jpg
HP Envy 13-aq0047TX Laptop (8th Gen Core i5/ 8GB/ 512GB SSD/ Win10/ 2GB Graph),Intel Core i5 8th Gen,8 GB DDR4 RAM,NO,512 GB SSD,Intel Integrated HD,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 19,999 ",https://cdn1.smartprix.com/rx-iDuiNA0XM-w103-h125/hp-15-ac167tu-p4y38p.jpg
HP Pavilion x360 11-ad031tu Laptop (7th Gen Ci3/ 4GB/ 1TB/ Win10 Home/ Touch),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,1366 x 768 pixels,Chrome OS," 20,000 ",https://cdn1.smartprix.com/rx-iQ3OYScV5-w103-h125/hp-11-2102tu-chromeb.jpg
HP 15-bw084ax Notebook (AMD A10/ 4GB/ 1TB/ FreeDOS/ 2GB Graph),AMD A10 APU,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon R4 Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 20,333 ",https://cdn1.smartprix.com/rx-iLbt08QR7-w103-h125/hp-15-af001au-m4y78p.jpg
HP 15s-fr1004tu Laptop (10th Gen Core i3/ 4GB/ 512GB SSD/ Win10 Home),Intel Core i3 10th Gen,4 GB DDR4 RAM,NO,512 GB SSD,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",Windows 8 OS," 20,333 ",https://cdn1.smartprix.com/rx-iiB47w0GQ-w103-h125/hp-15-r248tu-l2z65pa.jpg
HP 15-BS638TU (3KM92PA) Laptop (7th Gen Ci3/ 4GB/ 1TB/ Win10 Home),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",DOS OS," 20,490 ",https://cdn1.smartprix.com/rx-iMPVsXhqq-w103-h125/hp-15-a001tu-laptop.jpg
HP Envy 13-ba0011TX Laptop (10th Gen Core i5/ 8GB/ 512GB SSD/ Win10/ 2GB Graph),Intel Core i5 10th Gen,8 GB DDR4 RAM,NO,512 GB SSD,Intel Integrated HD 500,"15.6 inches, 1366 x 768 pixels",DOS OS," 20,490 ",https://cdn1.smartprix.com/rx-inX3R8FM6-w103-h125/hp-250-g6-5ud96pa-la.jpg
HP Pavilion x360 14-dh0043TX Laptop (8th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10 Home/ 2GB Graph),Intel Core i5 8th Gen,8 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated HD Graphics 400,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 20,499 ",https://cdn1.smartprix.com/rx-iwCpvK601-w103-h125/hp-imprint-15-bs548t.jpg
HP 14q-cs2003TU Laptop (Pentium Silver N5030/ 4GB/256GB SSD/ Win10 Home),Intel N5030 Pentium Silver,4 GB DDR4  RAM,NO,256 GB SSD,AMD Radeon R3,"14 inches, 1366 x 768 pixels",Windows 10 OS," 20,500 ",https://cdn1.smartprix.com/rx-iMFpqR7FX-w103-h125/hp-14-cm0123au-lapto.jpg
