NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM,PRICE,IMAGE-src
Acer Aspire E5-571G Notebook (4th Gen Ci3/ 4GB/ 1TB/ Win8.1/ 2GB Graph) (NX.MRHSI.004),Intel Core i3 4th Gen,4 GB DDR3 RAM,1 TB Hard Disk,,2 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows 8 OS,"19,700",https://cdn1.smartprix.com/rx-igf2oTx4R-w103-h125/acer-aspire-e5-571g.jpg
Acer Aspire V5-123 Netbook (APU Dual Core/ 2GB/ 500GB/ Linux) (NX.MFQSI.003),AMD APU,2 GB DDR3 RAM,500 GB Hard Disk,,512 MB AMD Graphics Card,"11.6 inches, 1366 x 768 pixels",Ubuntu OS,"19,790",https://cdn1.smartprix.com/rx-iJhtRLzu4-w103-h125/acer-aspire-v5-123-n.jpg
Acer Aspire E1-510 Notebook (4th Gen PQC/ 2GB/ 500GB/ Linux) (NX.MGRSI.001),Intel Pentium 4th Gen,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"15.6 inches, 1366 x 768 pixels",Linux OS,"19,850",https://cdn1.smartprix.com/rx-iYZplcg6H-w103-h125/acer-aspire-e1-510-n.jpg
Acer Aspire 3 A315-31 (UN.GR4SI.003) Laptop (Pentium Quad Core/ 4GB/ 500GB/ Win10 Home),Intel Pentium,4 GB DDR3 RAM,500 GB Hard Disk,,Intel Integrated HD 505,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"19,990",https://cdn1.smartprix.com/rx-iVo23bVrb-w103-h125/acer-aspire-3-a315-3.jpg
Acer Aspire A315-53 NX.H38SI.010 Laptop (Pentium Gold/ 4GB/ 500GB/ Win10),Intel Pentium Gold,4 GB DDR4 RAM,500 GB Hard Disk,,Intel Integrated HD 610,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"19,990",https://cdn1.smartprix.com/rx-iP0K6s6OS-w103-h125/acer-aspire-a315-53.jpg
Acer Aspire E1-522A Laptop (APU Quad Core/ 2GB/ 500GB/ Linux) (NX.M81SI.009),AMD APU,2 GB DDR3 RAM,500 GB Hard Disk,,AMD Radeon Graphics,15.6 inches,Linux OS,"19,999",https://cdn1.smartprix.com/rx-iyyMPJz1B-w103-h125/acer-aspire-e1-522a.jpg
Acer ES1-523 (NX.GKYSI.007) Notebook (7th Gen AMD E1/ 4GB/ 500GB/ Win10),AMD E1 APU 7th Gen,4 GB DDR3 RAM,500 GB Hard Disk,,AMD REDEON R2,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"19,999",https://cdn1.smartprix.com/rx-iCppB651U-w103-h125/acer-es1-523-nx-gkys.jpg
Acer Aspire ES1-533 (NX.GFTSI.008) Laptop (Pentium Quad Core/ 4GB/ 500GB/ Linux),Intel Pentium N4200,4 GB DDR3 RAM,500 GB Hard Disk,,Intel HD 505,"15.6 inches, 1366 x 768 pixels",DOS OS,"20,000",https://cdn1.smartprix.com/rx-ijsA6LGEh-w103-h125/acer-aspire-es1-533.jpg
Acer Aspire E3-112M (NX.MSMSI.001) (4th Gen Celeron Dual Core/ 2GB/ 500GB/ Win8.1),Intel Celeron 4th Gen,2 GB DDR3 RAM,500 GB Hard Disk,,Intel,"11.6 inches, 1366 x 768 pixels",Windows 8 OS,"20,199",https://cdn1.smartprix.com/rx-i7D7VKT53-w103-h125/acer-aspire-e3-112m.jpg
Acer Aspire E1-522A Laptop (APU Quad Core/ 2GB/ 500GB/ Win8) (NX.M81SI.008),AMD A4 APU,2 GB DDR3 RAM,500 GB Hard Disk,,AMD Radeon Graphics,15.6 inches,Windows 8 OS,"20,240",https://cdn1.smartprix.com/rx-iSbUWd4fM-w103-h125/acer-aspire-e1-522a.jpg
Acer Aspire 3 A315-31 (NX.GNTSI.004) Laptop (PQC/ 4GB/ 500GB/ Linux),Intel Pentium,4 GB DDR3 RAM,500 GB Hard Disk,,,"15.6 inches, 1366 x 768 pixels",Linux OS,"20,284",https://cdn1.smartprix.com/rx-iSJun1HbS-w103-h125/acer-aspire-3-a315-3.jpg
Acer Aspire ES1-533 (NX.GFTSI.001) Laptop (PQC/ 4GB/ 1TB/ Win10),Intel Pentium,4 GB DDR3 RAM,1 TB Hard Disk,,HD Graphics 505,"15.6 inches, 1366 x 768 pixels",Windows 10 OS,"20,380",https://cdn1.smartprix.com/rx-iF6B5Ww8G-w103-h125/acer-aspire-es1-533.jpg
Acer Gateway NE56R Laptop (3rd Gen CDC/ 2GB/ 500GB/ Linux) (NX.Y1USI.018),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics 3000,"15.6 inches, 1366 x 768 pixels",Ubuntu OS,"20,390",https://cdn1.smartprix.com/rx-iaFMIsuGS-w103-h125/acer-gateway-ne56r-l.jpg
Acer Aspire V5-131 Laptop (3rd Gen CDC/ 2GB/ 500GB/ Linux) (NX.M87SI.002),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Ubuntu OS,"20,499",https://cdn1.smartprix.com/rx-is77XpsOe-w103-h125/acer-aspire-v5-131-l.jpg
Acer Aspire ES1-533-C9H6 (NX.GFTSI.011) Notebook (Celeron Dual Core/ 4GB/ 500GB/ Linux),Intel Celeron Dual Core N3350,4 GB DDR3 RAM,500 GB Hard Disk,,Intel HD 505,"15.6 inches, 1366 x 768 pixels",Linux OS,"20,599",https://cdn1.smartprix.com/rx-iewyfKbtf-w103-h125/acer-aspire-es1-533.jpg
Acer Aspire V5-131 Laptop (3rd Gen CDC/ 2GB/ 500GB/ Linux) (NX.M88SI.011),Intel Celeron,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Ubuntu OS,"20,799",https://cdn1.smartprix.com/rx-iWBSGKLU3-w103-h125/acer-aspire-v5-131-l.jpg
Acer Aspire E5-511 Notebook (PQC/ 2GB/ 500GB/ Linux) (NX.MNYSI.002),Intel 1st Gen Pentium,2 GB DDR3 RAM,500 GB Hard Disk,,Intel HD Graphics 4400,"15.6 inches, 1366 x 768 pixels",Linux OS,"20,800",https://cdn1.smartprix.com/rx-id92Xo6NZ-w103-h125/acer-aspire-e5-511-n.jpg
Acer One 14 (UN.Y52SI.008) Notebook (PQC/ 4GB/ 500GB/ Win10),Intel Pentium 4th Gen,4 GB DDR3 RAM,500 GB Hard Disk,,Intel Integrated HD Graphics,"14 inches, 1366 x 768 pixels",Windows 10 OS,"20,866",https://cdn1.smartprix.com/rx-ia6VUT2PP-w103-h125/acer-one-14-un-y52si.jpg
