NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
Asus X554LA-XX371H Notebook (4th Gen Ci3/ 4GB/ 500GB/ Win8.1),Intel Core i3 4th Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD Graphics 4400,1366 x 768 pixels,Windows 8 OS," 26,000 ",https://cdn1.smartprix.com/rx-i4QlO7cxL-w103-h125/asus-x554la-xx371h-n.jpg
Asus A541UJ-DM463 Laptop (6th Gen Ci3/ 4GB/ 1TB/ Win10),Intel Core i3 6006U 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD 520,"15.6 inches, 1920 x 1080 pixels",Windows OS," 26,000 ",https://cdn1.smartprix.com/rx-igLONW1AY-w103-h125/asus-a541uj-dm463-la.jpg
Asus X541UA-DM1187T Laptop (7th Gen Ci3/ 4GB/ 1TB/ Win10),Intel Core i3 7100U 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD 620,"15.6 inches, 1920 x 1080 pixels",Windows OS," 26,490 ",https://cdn1.smartprix.com/rx-iVoXNKNvD-w103-h125/asus-x541ua-dm1187t.jpg
Asus X542BP-GQ036T Laptop (AMD Dual Core A9/ 8GB/ 1TB/ Win10/ 2GB Graph),APU Dual Core A9,8 GB DDR4 RAM,1 TB Hard Disk,NO,2 GB  Graphics Card,"15.6 inches, 1366 x 768 pixels",Windows OS," 26,490 ",https://cdn1.smartprix.com/rx-i5ZNF6wjS-w103-h125/asus-x542bp-gq036t-l.jpg
Asus X541UA-GO1302D Laptop (6th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 6006U 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD 520,"15.6 inches, 1920 x 1080 pixels",DOS OS," 26,500 ",https://cdn1.smartprix.com/rx-ib1ZtB3Ng-w103-h125/asus-x541ua-go1302d.jpg
Asus X540LA-XX538T Laptop (5th Gen Core i3/ 4GB/ 1TB/ Win10),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,Intel HD,15.6 inches,Windows 10 OS," 26,799 ",https://cdn1.smartprix.com/rx-iwExVyzGf-w103-h125/asus-x540la-xx538t-l.jpg
Asus Vivobook X541UA-DM1358T Laptop (7th Gen Ci3/ 4GB/ 1TB/ Win10),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated HD620,"15.6 inches, 1080 x 1920 pixels",Windows 10 OS," 26,800 ",https://cdn1.smartprix.com/rx-ie82sT5FV-w103-h125/asus-vivobook-x541ua.jpg
Asus X541UA-G01345D Laptop (6th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics 520,"15.6 inches, 1366 x 768 pixels",DOS OS," 26,850 ",https://cdn1.smartprix.com/rx-ih2Fc0ARl-w103-h125/asus-x541ua-g01345d.jpg
Asus X552CL-XX220D Notebook (3rd Gen Ci3/ 4GB/ 500GB/ 1GB Graph/ Free DOS),Intel Core i3 3rd Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,1 GB NVIDIA Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 26,900 ",https://cdn1.smartprix.com/rx-iatHbZ4ia-w103-h125/asus-x552cl-xx220d-n.jpg
Asus (X555LA-XX305D) Laptop (4th Gen Ci3/ 4GB/ 500GB/ FreeDOS),Intel Core i3 4th Gen,4 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD Graphics 4400,"15.6 inches, 1366 x 768 pixels",DOS OS," 26,990 ",https://cdn1.smartprix.com/rx-iRwTBAZAw-w103-h125/asus-x555la-xx305d-l.jpg
