NAME,PROCESSOR,RAM,,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
Lenovo Z50-70 Notebook (4th Gen Ci5/ 4GB/ 1TB/2GB Graph/DOS),Intel Core i5 4th Gen,4 GB DDR3 RAM,,128 GB Hard Disk,128 GB SSD,Intel HD Graphics 4000,"13.3 inches, 1600 x 900 pixels, Touch Screen",Windows 10 OS," 73,999 ",https://cdn1.smartprix.com/rx-ioqkcHIcA-w103-h125/lenovo-ideapad-yoga.jpg
Lenovo G50-70 Notebook (4th Gen Ci3/ 4GB/ 1TB/ Win8.1/ 2GB Graph) (59-422417),Intel Core i3,4 GB DDR3 RAM,,128 GB Hard Disk,128 GB SSD,NVIDIA ULP GeForce,"11.6 inches, 1366 x 768 pixels, Touch Screen",Windows 10 OS," 57,230 ",https://cdn1.smartprix.com/rx-iEUgEAbLo-w103-h125/lenovo-ideapad-yoga.jpg
Lenovo Ideapad 100 (80QQ019NIH) Laptop (5th Ci3/ 4GB/ 1TB/ FreeDOS/ 2GB Graph),Intel Core i3 5th Gen,4 GB DDR3 RAM,,128 GB Hard Disk,128 GB SSD,Intel HD Graphics 4000,"14 inches, 1366 x 768 pixels",Windows 10 OS," 1,25,000 ",https://cdn1.smartprix.com/rx-iIyCxaxHd-w103-h125/lenovo-thinkpad-x102.jpg
Lenovo G50-30 Notebook (4th Gen PQC/ 4GB/ 1TB/ Win8.1) (80G0015GIN),Intel Pentium 4th Gen,4 GB DDR3 RAM,,128 GB Hard Disk,128 GB SSD,Intel HD Graphics 3000,14 inches,Windows 10 OS," 55,436 ",https://cdn1.smartprix.com/rx-ihNc2lpga-w103-h125/lenovo-thinkpad-t420.jpg
Lenovo ThinkPad X250 Laptop (5th Gen Ci5/ 4GB / 1TB/ Win8 Pro)(20CLA0EBIG),Intel 5th Gen Core i5,4 GB DDR3 RAM,,2 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 1,13,000 ",https://cdn1.smartprix.com/rx-inOnrHbxx-w103-h125/lenovo-legion-y7000.jpg
Lenovo Essential G580 (59-356381) Laptop (2nd Gen PDC/ 4GB/ 1 TB/ Win8),Intel Pentium 2nd Gen,4 GB DDR3 RAM,,2 TB Hard Disk,128 GB SSD,4 GB NVIDIA Graphics Card,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 69,934 ",https://cdn1.smartprix.com/rx-iPgZBwDAt-w103-h125/lenovo-legion-y7000.jpg
Lenovo Ideapad 300 (80Q700UEIN) Notebook (6th Gen Intel Ci5/ 4GB/ 1TB/ FreeDOS/ 2GB Graph),Intel Core i5 6th Gen,4 GB DDR3 RAM,,1 TB Hard Disk,NO,128 MB Intel Graphics Card,15.6 inches,Windows 10 OS," 12,497 ",https://cdn1.smartprix.com/rx-iOzOlhEUd-w103-h125/lenovo-g50-80-80e502.jpg
Lenovo G50-45 (80E3023KIH) Notebook (AMD APU A8/ 4GB/ 1TB/ Win10/ 2GB Graph),AMD A8 APU 6th Gen,4 GB DDR3 RAM,,500 GB Hard Disk,NO,128 MB Intel Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 18,899 ",https://cdn1.smartprix.com/rx-iT5lQx0cZ-w103-h125/lenovo-ideapad-100-8.jpg
Lenovo G50-80 Notebook (4th Gen Ci3/ 4GB/ 1TB/ FreeDOS/ 2GB Graph),Intel Core i3 4th Gen,4 GB DDR3 RAM,,500 GB Hard Disk,NO,128 MB Intel Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 18,299 ",https://cdn1.smartprix.com/rx-i9vswxglO-w103-h125/lenovo-ideapad-100-1.jpg
Lenovo G50-80 (80E5020VIN) Notebook (5th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 5th Gen,4 GB DDR3 RAM,,500 GB Hard Disk,NO,128 MB Intel Graphics Card,"11.6 inches, 1366 x 768 pixels",Windows 10 OS," 31,090 ",https://cdn1.smartprix.com/rx-i6bVurwyk-w103-h125/lenovo-300-yoga-80m1.jpg
Lenovo Thinkpad E460 (20EUA00P00) Laptop (6th Gen Ci5/ 4GB/ 1TB/ FreeDOS),Intel Core i5 6200U 6th Gen,4 GB DDR3 RAM,,,256 GB SSD,NO,"13.3 inches, 1920 x 1080 pixels, Touch Screen",Windows 10 OS," 71,999 ",https://cdn1.smartprix.com/rx-iIqnlB2iE-w103-h125/lenovo-thinkpad-l390.jpg
Lenovo Essential G505 (59-379534) Laptop (APU Quad Core/ 4GB/ 1TB/ Win8/ 1 GB Graph),AMD APU,4 GB DDR3 RAM,,,512 GB SSD,NO,"13.3 inches, 1920 x 1080 pixels, Touch Screen",Windows 10 OS," 79,999 ",https://cdn1.smartprix.com/rx-iiBzH3S6D-w103-h125/lenovo-thinkpad-l390.jpg
